"No.","Time","Source","Destination","Protocol","Length","Info","OpGroup","OpCode","Bytes","Event Code","Sub Event","Command Opcode","EvBytes","CID","Command Code","DLCI","Frame type","MCC Command Type","Transaction","C/R","Ctype","Opcode","PDU ID","Operation ID","Transaction","Message Type","Signal","ACP SEID","INT SEID","Expected data speed","Opcode","Handle","Value"
"1","2025-01-09 20:00:32.393128","host","controller","HCI_CMD","4","Sent Reset","Host Controller & Baseband Commands","Reset","03:0c","","","","03","","","","","","","","","","","","","","","","","","","",""
"2","2025-01-09 20:00:32.403355","controller","host","HCI_EVT","7","Rcvd Command Complete (Reset)","","","0e:04","Command Complete","","Reset","0e","","","","","","","","","","","","","","","","","","","",""
"3","2025-01-09 20:00:32.403721","host","controller","HCI_CMD","12","Sent Set Event Mask","Host Controller & Baseband Commands","Set Event Mask","01:0c","","","","01","ff:ff","","","","","","","","","","","","","","","","","","",""
"4","2025-01-09 20:00:32.405649","controller","host","HCI_EVT","7","Rcvd Command Complete (Set Event Mask)","","","0e:04","Command Complete","","Set Event Mask","0e","","","","","","","","","","","","","","","","","","","",""
"5","2025-01-09 20:00:32.405819","host","controller","HCI_CMD","6","Sent Write LE Host Supported","Host Controller & Baseband Commands","Write LE Host Supported","6d:0c","","","","6d","","","","","","","","","","","","","","","","","","","",""
"6","2025-01-09 20:00:32.408152","controller","host","HCI_EVT","7","Rcvd Command Complete (Write LE Host Supported)","","","0e:04","Command Complete","","Write LE Host Supported","0e","","","","","","","","","","","","","","","","","","","",""
"7","2025-01-09 20:00:32.408323","host","controller","HCI_CMD","4","Sent Read Local Name","Host Controller & Baseband Commands","Read Local Name","14:0c","","","","14","","","","","","","","","","","","","","","","","","","",""
"8","2025-01-09 20:00:32.410707","controller","host","HCI_EVT","255","Rcvd Command Complete (Read Local Name)","","","0e:fc","Command Complete","","Read Local Name","0e","53:50","","","","","","","","","","","","","","","","","","",""
"9","2025-01-09 20:00:32.410870","host","controller","HCI_CMD","4","Sent Read Local Version Information","Informational Parameters","Read Local Version Information","01:10","","","","01","","","","","","","","","","","","","","","","","","","",""
"10","2025-01-09 20:00:32.413085","controller","host","HCI_EVT","15","Rcvd Command Complete (Read Local Version Information)","","","0e:0c","Command Complete","","Read Local Version Information","0e","09:ff","","","","","","","","","","","","","","","","","","",""
"11","2025-01-09 20:00:32.413224","host","controller","HCI_CMD","4","Sent Read Local Supported Commands","Informational Parameters","Read Local Supported Commands","02:10","","","","02","","","","","","","","","","","","","","","","","","","",""
"12","2025-01-09 20:00:32.415587","controller","host","HCI_EVT","71","Rcvd Command Complete (Read Local Supported Commands)","","","0e:44","Command Complete","","Read Local Supported Commands","0e","ff:ff","","","","","","","","","","","","","","","","","","",""
"13","2025-01-09 20:00:32.415735","host","controller","HCI_CMD","4","Sent LE Read Local Supported Features","LE Controller Commands","LE Read Local Supported Features","03:20","","","","03","","","","","","","","","","","","","","","","","","","",""
"14","2025-01-09 20:00:32.418189","controller","host","HCI_EVT","15","Rcvd Command Complete (LE Read Local Supported Features)","","","0e:0c","Command Complete","","LE Read Local Supported Features","0e","ff:ff","","","","","","","","","","","","","","","","","","",""
"15","2025-01-09 20:00:32.418385","host","controller","HCI_CMD","4","Sent LE Read Supported States","LE Controller Commands","LE Read Supported States","1c:20","","","","1c","","","","","","","","","","","","","","","","","","","",""
"16","2025-01-09 20:00:32.420589","controller","host","HCI_EVT","15","Rcvd Command Complete (LE Read Supported States)","","","0e:0c","Command Complete","","LE Read Supported States","0e","ff:ff","","","","","","","","","","","","","","","","","","",""
"17","2025-01-09 20:00:32.420746","host","controller","HCI_CMD","5","Sent Read Local Extended Features","Informational Parameters","Read Local Extended Features","04:10","","","","04","","","","","","","","","","","","","","","","","","","",""
"18","2025-01-09 20:00:32.423049","controller","host","HCI_EVT","17","Rcvd Command Complete (Read Local Extended Features)","","","0e:0e","Command Complete","","Read Local Extended Features","0e","00:02","","","","","","","","","","","","","","","","","","",""
"19","2025-01-09 20:00:32.423315","host","controller","HCI_CMD","5","Sent Read Local Extended Features","Informational Parameters","Read Local Extended Features","04:10","","","","04","","","","","","","","","","","","","","","","","","","",""
"20","2025-01-09 20:00:32.425589","controller","host","HCI_EVT","17","Rcvd Command Complete (Read Local Extended Features)","","","0e:0e","Command Complete","","Read Local Extended Features","0e","01:02","","","","","","","","","","","","","","","","","","",""
"21","2025-01-09 20:00:32.425857","host","controller","HCI_CMD","5","Sent Read Local Extended Features","Informational Parameters","Read Local Extended Features","04:10","","","","04","","","","","","","","","","","","","","","","","","","",""
"22","2025-01-09 20:00:32.428116","controller","host","HCI_EVT","17","Rcvd Command Complete (Read Local Extended Features)","","","0e:0e","Command Complete","","Read Local Extended Features","0e","02:02","","","","","","","","","","","","","","","","","","",""
"23","2025-01-09 20:00:32.428488","host","controller","HCI_CMD","12","Sent LE Set Event Mask","LE Controller Commands","LE Set Event Mask","01:20","","","","01","00:00","","","","","","","","","","","","","","","","","","",""
"24","2025-01-09 20:00:32.430688","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Event Mask)","","","0e:04","Command Complete","","LE Set Event Mask","0e","","","","","","","","","","","","","","","","","","","",""
"25","2025-01-09 20:00:32.430879","host","controller","HCI_CMD","4","Sent Read Buffer Size","Informational Parameters","Read Buffer Size","05:10","","","","05","","","","","","","","","","","","","","","","","","","",""
"26","2025-01-09 20:00:32.433113","controller","host","HCI_EVT","14","Rcvd Command Complete (Read Buffer Size)","","","0e:0b","Command Complete","","Read Buffer Size","0e","fd:03","","","","","","","","","","","","","","","","","","",""
"27","2025-01-09 20:00:32.433256","host","controller","HCI_CMD","4","Sent LE Read Buffer Size [v1]","LE Controller Commands","LE Read Buffer Size [v1]","02:20","","","","02","","","","","","","","","","","","","","","","","","","",""
"28","2025-01-09 20:00:32.435567","controller","host","HCI_EVT","10","Rcvd Command Complete (LE Read Buffer Size [v1])","","","0e:07","Command Complete","","LE Read Buffer Size [v1]","0e","10:01","","","","","","","","","","","","","","","","","","",""
"29","2025-01-09 20:00:32.435696","host","controller","HCI_CMD","4","Sent LE Read Filter Accept List Size","LE Controller Commands","LE Read Filter Accept List Size","0f:20","","","","0f","","","","","","","","","","","","","","","","","","","",""
"30","2025-01-09 20:00:32.438087","controller","host","HCI_EVT","8","Rcvd Command Complete (LE Read Filter Accept List Size)","","","0e:05","Command Complete","","LE Read Filter Accept List Size","0e","","","","","","","","","","","","","","","","","","","",""
"31","2025-01-09 20:00:32.438211","host","controller","HCI_CMD","4","Sent LE Read Resolving List Size","LE Controller Commands","LE Read Resolving List Size","2a:20","","","","2a","","","","","","","","","","","","","","","","","","","",""
"32","2025-01-09 20:00:32.440737","controller","host","HCI_EVT","8","Rcvd Command Complete (LE Read Resolving List Size)","","","0e:05","Command Complete","","LE Read Resolving List Size","0e","","","","","","","","","","","","","","","","","","","",""
"33","2025-01-09 20:00:32.440931","host","controller","HCI_CMD","4","Sent LE Read Maximum Data Length","LE Controller Commands","LE Read Maximum Data Length","2f:20","","","","2f","","","","","","","","","","","","","","","","","","","",""
"34","2025-01-09 20:00:32.443181","controller","host","HCI_EVT","15","Rcvd Command Complete (LE Read Maximum Data Length)","","","0e:0c","Command Complete","","LE Read Maximum Data Length","0e","fb:00","","","","","","","","","","","","","","","","","","",""
"35","2025-01-09 20:00:32.443383","host","controller","HCI_CMD","5","Sent Write Simple Pairing Mode","Host Controller & Baseband Commands","Write Simple Pairing Mode","56:0c","","","","56","","","","","","","","","","","","","","","","","","","",""
"36","2025-01-09 20:00:32.445608","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Simple Pairing Mode)","","","0e:04","Command Complete","","Write Simple Pairing Mode","0e","","","","","","","","","","","","","","","","","","","",""
"37","2025-01-09 20:00:32.445837","host","controller","HCI_CMD","5","Sent Write Secure Connections Host Support","Host Controller & Baseband Commands","Write Secure Connections Host Support","7a:0c","","","","7a","","","","","","","","","","","","","","","","","","","",""
"38","2025-01-09 20:00:32.448083","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Secure Connections Host Support)","","","0e:04","Command Complete","","Write Secure Connections Host Support","0e","","","","","","","","","","","","","","","","","","","",""
"39","2025-01-09 20:00:32.448286","host","controller","HCI_CMD","4","Sent LE Read Suggested Default Data Length","LE Controller Commands","LE Read Suggested Default Data Length","23:20","","","","23","","","","","","","","","","","","","","","","","","","",""
"40","2025-01-09 20:00:32.450634","controller","host","HCI_EVT","11","Rcvd Command Complete (LE Read Suggested Default Data Length)","","","0e:08","Command Complete","","LE Read Suggested Default Data Length","0e","1b:00","","","","","","","","","","","","","","","","","","",""
"41","2025-01-09 20:00:32.450809","host","controller","HCI_CMD","4","Sent LE Read Maximum Advertising Data Length","LE Controller Commands","LE Read Maximum Advertising Data Length","3a:20","","","","3a","","","","","","","","","","","","","","","","","","","",""
"42","2025-01-09 20:00:32.453140","controller","host","HCI_EVT","9","Rcvd Command Complete (LE Read Maximum Advertising Data Length)","","","0e:06","Command Complete","","LE Read Maximum Advertising Data Length","0e","72:06","","","","","","","","","","","","","","","","","","",""
"43","2025-01-09 20:00:32.453308","host","controller","HCI_CMD","4","Sent LE Read Number of Supported Advertising Sets","LE Controller Commands","LE Read Number of Supported Advertising Sets","3b:20","","","","3b","","","","","","","","","","","","","","","","","","","",""
"44","2025-01-09 20:00:32.455567","controller","host","HCI_EVT","8","Rcvd Command Complete (LE Read Number of Supported Advertising Sets)","","","0e:05","Command Complete","","LE Read Number of Supported Advertising Sets","0e","","","","","","","","","","","","","","","","","","","",""
"45","2025-01-09 20:00:32.455714","host","controller","HCI_CMD","4","Sent LE Read Periodic Advertiser List Size","LE Controller Commands","LE Read Periodic Advertiser List Size","4a:20","","","","4a","","","","","","","","","","","","","","","","","","","",""
"46","2025-01-09 20:00:32.458077","controller","host","HCI_EVT","8","Rcvd Command Complete (LE Read Periodic Advertiser List Size)","","","0e:05","Command Complete","","LE Read Periodic Advertiser List Size","0e","","","","","","","","","","","","","","","","","","","",""
"47","2025-01-09 20:00:32.458212","host","controller","HCI_CMD","4","Sent Read Default Erroneous Data Reporting","Host Controller & Baseband Commands","Read Default Erroneous Data Reporting","5a:0c","","","","5a","","","","","","","","","","","","","","","","","","","",""
"48","2025-01-09 20:00:32.460562","controller","host","HCI_EVT","8","Rcvd Command Complete (Read Default Erroneous Data Reporting)","","","0e:05","Command Complete","","Read Default Erroneous Data Reporting","0e","","","","","","","","","","","","","","","","","","","",""
"49","2025-01-09 20:00:32.460693","host","controller","HCI_CMD","4","Sent Vendor Command 0x0153 (opcode 0xFD53)","Vendor-Specific Commands","0x153","53:fd","","","","53","","","","","","","","","","","","","","","","","","","",""
"50","2025-01-09 20:00:32.463246","controller","host","HCI_EVT","21","Rcvd Command Complete (Vendor Command 0x0153 [opcode 0xFD53])","","","0e:12","Command Complete","","0xfd53","0e","0a:00","","","","","","","","","","","","","","","","","","",""
"51","2025-01-09 20:00:32.463460","host","controller","HCI_CMD","4","Sent Read BD ADDR","Informational Parameters","Read BD ADDR","09:10","","","","09","","","","","","","","","","","","","","","","","","","",""
"52","2025-01-09 20:00:32.465614","controller","host","HCI_EVT","13","Rcvd Command Complete (Read BD ADDR)","","","0e:0a","Command Complete","","Read BD ADDR","0e","b6:b1","","","","","","","","","","","","","","","","","","",""
"53","2025-01-09 20:00:32.466724","host","controller","HCI_CMD","5","Sent Vendor Command 0x0157 (opcode 0xFD57)","Vendor-Specific Commands","0x157","57:fd","","","","57","","","","","","","","","","","","","","","","","","","",""
"54","2025-01-09 20:00:32.469445","controller","host","HCI_EVT","10","Rcvd Command Complete (Vendor Command 0x0157 [opcode 0xFD57])","","","0e:07","Command Complete","","0xfd57","0e","ff:00","","","","","","","","","","","","","","","","","","",""
